drug,drug_class,top_k,observed_overlap,expected_overlap,precision_at_k,enrichment_score
ATV,PI,10,2,1.1111111111111112,0.2,1.7999999999999998
ATV,PI,20,4,2.2222222222222223,0.2,1.7999999999999998
DRV,PI,10,2,0.8080808080808082,0.2,2.4749999999999996
DRV,PI,20,2,1.6161616161616164,0.1,1.2374999999999998
FPV,PI,10,2,0.9090909090909092,0.2,2.1999999999999997
FPV,PI,20,4,1.8181818181818183,0.2,2.1999999999999997
IDV,PI,10,0,0.7070707070707071,0.0,0.0
IDV,PI,20,1,1.4141414141414141,0.05,0.7071428571428572
LPV,PI,10,1,1.0101010101010102,0.1,0.99
LPV,PI,20,2,2.0202020202020203,0.1,0.99
NFV,PI,10,0,0.5050505050505051,0.0,0.0
NFV,PI,20,0,1.0101010101010102,0.0,0.0
SQV,PI,10,3,0.5050505050505051,0.3,5.9399999999999995
SQV,PI,20,4,1.0101010101010102,0.2,3.96
TPV,PI,10,2,0.7070707070707071,0.2,2.8285714285714287
TPV,PI,20,4,1.4141414141414141,0.2,2.8285714285714287
ABC,NRTI,10,1,0.16666666666666666,0.1,6.0
ABC,NRTI,20,1,0.3333333333333333,0.05,3.0
AZT,NRTI,10,1,0.25,0.1,4.0
AZT,NRTI,20,3,0.5,0.15,6.0
D4T,NRTI,10,1,0.3333333333333333,0.1,3.0
D4T,NRTI,20,2,0.6666666666666666,0.1,3.0
DDI,NRTI,10,1,0.08333333333333333,0.1,12.0
DDI,NRTI,20,1,0.16666666666666666,0.05,6.0
3TC,NRTI,10,1,0.08333333333333333,0.1,12.0
3TC,NRTI,20,1,0.16666666666666666,0.05,6.0
TDF,NRTI,10,1,0.08333333333333333,0.1,12.0
TDF,NRTI,20,1,0.16666666666666666,0.05,6.0
EFV,NNRTI,10,3,0.375,0.3,8.0
EFV,NNRTI,20,4,0.75,0.2,5.333333333333333
ETR,NNRTI,10,2,0.3333333333333333,0.2,6.0
ETR,NNRTI,20,3,0.6666666666666666,0.15,4.5
NVP,NNRTI,10,7,0.3333333333333333,0.7,21.0
NVP,NNRTI,20,8,0.6666666666666666,0.4,12.0
RPV,NNRTI,10,1,0.2916666666666667,0.1,3.4285714285714284
RPV,NNRTI,20,4,0.5833333333333334,0.2,6.857142857142857
